source_id,name,source_class,category,country,language,ingest_type,feed_or_endpoint,refresh,priority,enabled,translation_required,endpoint_status,notes
SRC001,3D Printing Industry,S1,Media / General AM,US/UK,EN,RSS,https://3dprintingindustry.com/feed,1d,A,True,False,READY,Hlavní odborné médium; vhodné pro denní ingest.
SRC002,TCT Magazine,S1,Media / Industrial AM,UK,EN,RSS,https://www.tctmagazine.com/rss,1d,A,True,False,READY,"Průmyslový AM, technologie, aplikace."
SRC003,VoxelMatters,S1,Media / Industrial AM,IT,EN,RSS/Web,https://www.voxelmatters.com/feed,1d,A,True,False,READY,"Feed nezávisle ověřen 2x živě (19.8.2026) jako funkční a aktuální – přepnuto z VERIFY/disabled na READY/enabled."
SRC004,All3DP,S2,Media / Consumer & Prosumer,DE,EN,RSS,https://all3dp.com/feed/newsfeed,1d,A,True,False,READY,Silný zdroj pro desktop/prosumer HW a SW.
SRC005,3DPrint.com,S1,Media / General AM,US,EN,RSS,https://3dprint.com/feed,1d,A,True,False,READY,Široký záběr včetně research a business.
SRC006,3DPrinting.com,S1,Media / General AM,NL/Global,EN,RSS,https://3dprinting.com/news/feed,1d,B,True,False,READY,Sekundární všeobecný zdroj.
SRC007,3Druck,S1,Media / HW SW Research,DE,DE,RSS,https://3druck.com/feed,1d,A,True,True,READY,Německý technický zdroj; překlad DE→CZ.
SRC008,Fabbaloo,S2,Media / Trends,CA,EN,RSS,https://www.fabbaloo.com/feed,1d,B,True,False,VERIFY,"Feed opakovaně vrací HTTP 403 (ověřeno 19.8.2026) – endpoint aktuálně nefunkční. Nutno najít náhradní URL nebo obejít blokaci bota, než přepnout zpět na READY. Skript ho do té doby záměrně nezkouší (SKIP)."
SRC009,Hackaday,S2,Maker / Open HW,US,EN,RSS/Search,https://hackaday.com/blog/feed/,1d,B,True,False,READY,Nutný keyword filtr na 3D printing/additive/CAD.
SRC010,Today in 3D Printing,A1,Aggregator / Benchmark,Global,EN,Web,https://www.todayin3dprinting.com/,1d,C,False,False,BENCHMARK,Použít hlavně jako kontrolní benchmark proti vlastnímu pokrytí.
SRC011,Prusa Research Blog,P1,Vendor / FDM / Materials,CZ,EN/CZ,RSS/Web,https://blog.prusa3d.com/feed/,1d,A+,True,False,READY,"Primární zdroj Prusa; HW, SW, materiály, ekosystém."
SRC012,Bambu Lab Blog,P1,Vendor / FDM / Software,CN,EN,Web,https://blog.bambulab.com/,1d,A+,True,False,WEB,Primární vendor source; ingest přes web change detection.
SRC013,Creality Blog,P1,Vendor / FDM / Scanning,CN,EN,Web,https://www.creality.com/blog,1d,A,True,False,WEB,Filtrovat marketing a how-to obsah.
SRC014,Formlabs Blog,P1,Vendor / SLA SLS Materials,US,EN,Web,https://formlabs.com/blog/,1d,A,True,False,WEB,"Primární zdroj SLA/SLS, PreForm, materiály."
SRC015,UltiMaker Learn/News,P1,Vendor / FDM / Cura,NL/US,EN,Web,https://ultimaker.com/learn/,1d,A,True,False,WEB,Sledovat zejména Cura a produktové novinky.
